yil;donem;kadro_kodu;kurum;unvan;il;ogrenim;kontenjan;bos_kadro;min_puan;max_puan;nitelik_kodlari;nitelikler;kadro_guid
2025;1;101013559;Türkiye İstatistik Kurumu Başkanlığı;Destek Personeli;İstanbul;Ortaogretim;1;;99.157;99.157;"2001;7348";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7348 - Bakınız: Başvurma Özel Şartları - Destek Personeli;d19ceb8a-935d-f011-b17e-a0369f7d1d8e
2025;1;101013552;Türkiye İstatistik Kurumu Başkanlığı;Destek Personeli;Gaziantep;Ortaogretim;1;;96.495;96.495;"2001;7348";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7348 - Bakınız: Başvurma Özel Şartları - Destek Personeli;219ceb8a-935d-f011-b17e-a0369f7d1d8e
2025;1;101013580;Türkiye İstatistik Kurumu Başkanlığı;Destek Personeli;Trabzon;Ortaogretim;1;;95.844;95.844;"2001;7348";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7348 - Bakınız: Başvurma Özel Şartları - Destek Personeli;8d9eeb8a-935d-f011-b17e-a0369f7d1d8e
2025;1;101012656;Bursa Teknik Üniversitesi;Destek Personeli;Bursa;Ortaogretim;1;;95.826;95.826;"2001;7348";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7348 - Bakınız: Başvurma Özel Şartları - Destek Personeli;7c9beb8a-935d-f011-b17e-a0369f7d1d8e
2025;1;101012572;Bingöl İl Özel İdaresi;Hizmetli;Bingöl;Ortaogretim;1;;94.988;94.988;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;469beb8a-935d-f011-b17e-a0369f7d1d8e
2025;1;101013090;Kastamonu İl Özel İdaresi;Hizmetli;Kastamonu;Ortaogretim;3;;94.825;95.269;2001;2001 - Herhangi bir ortaöğretim programından mezun olmak.;1b9deb8a-935d-f011-b17e-a0369f7d1d8e
2025;1;101013692;Ulaştırma ve Altyapı Bakanlığı;Destek Personeli;Ordu;Ortaogretim;1;;94.715;94.715;"2001;6262;7348";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6262 - MEB onaylı Hijyen Belgesine sahip olmak | 7348 - Bakınız: Başvurma Özel Şartları - Destek Personeli;019eeb8a-935d-f011-b17e-a0369f7d1d8e
2025;1;101013538;Türkiye İstatistik Kurumu Başkanlığı;Destek Personeli;Ankara;Ortaogretim;2;;94.445;94.624;"2001;7348";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7348 - Bakınız: Başvurma Özel Şartları - Destek Personeli;c39aeb8a-935d-f011-b17e-a0369f7d1d8e
2025;1;101013083;Kamu Gözetimi, Muhasebe ve Denetim Standartları Kurumu;Şoför;İstanbul;Ortaogretim;1;;94.2;94.2;"2001;6506;6519;7302";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 6506 - B sınıfı sürücü belgesine sahip olmak | 6519 - İstenilen Sınıftaki Sürücü Belgesine En Az (5) Yıldır Sahip olmak. | 7302 - Bakınız Başvurma Özel Şartları Bölümü Şoför;cd9ceb8a-935d-f011-b17e-a0369f7d1d8e
2025;1;101013517;Türkiye İstatistik Kurumu Başkanlığı;Destek Personeli;Adana;Ortaogretim;1;;94.05;94.05;"2001;7348";2001 - Herhangi bir ortaöğretim programından mezun olmak. | 7348 - Bakınız: Başvurma Özel Şartları - Destek Personeli;dd99eb8a-935d-f011-b17e-a0369f7d1d8e
