id;yil;donem;baslik;scraped_kadro;stated_kadro;kadro_match;scraped_kontenjan;stated_kontenjan;kontenjan_match;stated_basvuran;stated_yerlesen
2026-1;2026;1;2026/1 KPSS Robotu;1106;1106;True;2083;2083;True;249297;2082
2025-5;2025;5;2025/5 KPSS Robotu;5737;5737;True;15247;15247;True;241386;15247
2025-4;2025;4;2025/4 KPSS Robotu;5265;5265;True;15342;15342;True;227700;15342
2025-3;2025;3;2025/3 KPSS Robotu;336;336;True;527;527;True;;
2025-2;2025;2;2025/2 KPSS Robotu;1808;1808;True;3732;3732;True;332715;3729
2025-1;2025;1;2025/1 KPSS Robotu;1391;1391;True;2673;2673;True;292377;2655
2024-5;2024;5;2024/5 KPSS Robotu;7920;7920;True;27000;27000;True;239230;27000
2024-4;2024;4;2024/4 KPSS Robotu;3602;3602;True;5500;5500;True;255687;5500
2024-3;2024;3;2024/3 KPSS Robotu;206;206;True;695;695;True;103552;695
2024-2;2024;2;2024/2 KPSS Robotu;864;864;True;1615;1615;True;303918;1615
2024-1;2024;1;2024/1 KPSS Robotu;919;919;True;1816;1816;True;98526;1816
2023-6;2023;6;2023/6 KPSS Robotu;192;192;True;1392;1392;True;;
2023-5;2023;5;2023/5 KPSS Robotu;7039;7039;True;31600;31600;True;191080;31600
2023-2;2023;2;2023/2 KPSS Robotu;1487;1487;True;3742;3742;True;161701;3721
2023-1;2023;1;2023/1 KPSS Robotu;1036;1036;True;1818;1818;True;134800;1815
2022-11;2022;11;2022/11 KPSS Robotu;9744;9744;True;31183;31183;True;253555;31183
2022-5;2022;5;2022/5 KPSS Robotu;3802;3802;True;10000;10000;True;;
2022-2;2022;2;2022/2 KPSS Robotu;1432;1432;True;2845;2845;True;412100;2834
2022-1;2022;1;2022/1 KPSS Robotu;937;937;True;1878;1878;True;58967;1875
2021-10;2021;10;2021/10 KPSS Robotu;7670;7670;True;20000;20000;True;46694;20000
2021-2;2021;2;2021/2 KPSS Robotu;1355;1355;True;2389;2389;True;11317;2380
2021-1;2021;1;2021/1 KPSS Robotu;670;670;True;1027;1027;True;70713;1020
2020-72;2020;72;2020/7 Yeniden Yerleştirme Yapılması KPSS Robotu;1121;1121;True;2347;2347;True;;
2020-14;2020;14;2020/14 KPSS Robotu;3616;3616;True;12000;12000;True;138186;11995
2020-11;2020;11;2020/11 KPSS Robotu;129;129;True;200;200;True;;
2020-8;2020;8;2020/8 KPSS Robotu;60;60;True;3000;3000;True;40114;3000
2020-7;2020;7;2020/7 KPSS Robotu;1121;1121;True;2347;2347;True;28404;2347
2020-5;2020;5;2020/5 KPSS Robotu;4437;4437;True;17956;17956;True;0;17947
2020-4;2020;4;2020/4 KPSS Robotu;3331;3331;True;8844;8844;True;82726;8844
2020-2;2020;2;2020/2 KPSS Robotu;1070;1070;True;1677;1677;True;452180;1677
2020-1;2020;1;2020/1 KPSS Robotu;1222;1222;True;2582;2582;True;107546;2579
2019-7;2019;7;2019/7 KPSS Robotu;4040;4040;True;8845;8845;True;95227;8845
2019-6;2019;6;2019/6 KPSS Robotu;928;928;True;2313;2313;True;123651;2313
2019-4;2019;4;2019/4 KPSS Robotu;4635;4635;True;12000;12000;True;141835;12000
2019-2;2019;2;2019/2 KPSS Robotu;1130;1142;False;1735;1749;False;100272;1735
2019-1;2019;1;2019/1 KPSS Robotu;659;659;True;1014;1014;True;94290;1014
2018-5;2018;5;2018/5 KPSS Robotu;6459;6459;True;18000;18000;True;123065;17981
2018-4;2018;4;2018/4 KPSS Robotu;1920;1920;True;9000;9000;True;106726;8999
2018-2;2018;2;2018/2 KPSS Robotu;1030;1030;True;1729;1729;True;366820;1729
2018-1;2018;1;2018/1 KPSS Robotu;942;942;True;1471;1471;True;115863;1470
2017-8;2017;8;2017/8 KPSS Robotu;347;347;True;347;347;True;;
2017-7;2017;7;2017/7 KPSS Robotu;1058;1058;True;2058;2058;True;25319;2058
2017-6;2017;6;2017/6 KPSS Robotu;753;753;True;1300;1300;True;10954;1299
2017-5;2017;5;2017/5 KPSS Robotu;3985;3985;True;12500;12500;True;120246;12496
2017-4;2017;4;2017/4 KPSS Robotu;199;199;True;640;640;True;38191;640
2017-3;2017;3;2017/3 KPSS Robotu;921;921;True;3890;3890;True;49174;3882
2017-2;2017;2;2017/2 KPSS Robotu;1181;1181;True;2038;2038;True;151081;2034
2017-1;2017;1;2017/1 KPSS Robotu;1230;1230;True;2641;2641;True;339568;2638
2016-7;2016;7;2016/7 KPSS Robotu;2979;2979;True;4984;4984;True;73506;4963
2016-6;2016;6;2016/6 KPSS Robotu;618;618;True;2808;2808;True;;
2016-4;2016;4;2016/4 KPSS Robotu;844;844;True;1677;1677;True;25260;1677
2016-3;2016;3;2016/3 KPSS Robotu;1625;1625;True;3103;3103;True;42423;3090
2016-2;2016;2;2016/2 KPSS Robotu;1272;1272;True;2051;2051;True;1862302;2051
2016-1;2016;1;2016/1 KPSS Robotu;3524;3524;True;10174;10174;True;293219;10164
2015-3;2015;3;2015/3 KPSS Robotu;2434;2434;True;4920;4920;True;70920;4918
2015-2;2015;2;2015/2 KPSS Robotu;1147;1147;True;2159;2159;True;164656;2157
2015-1;2015;1;2015/1 KPSS Robotu;3841;3841;True;13213;13213;True;473192;13206
2014-4;2014;4;2014/4 KPSS Robotu;41;41;True;48;48;True;11147;48
2014-3;2014;3;2014/3 KPSS Robotu;1157;1157;True;4522;4522;True;82477;4516
2014-2;2014;2;2014/2 KPSS Robotu;1695;1695;True;5067;5067;True;1176978;5053
2014-1;2014;1;2014/1 KPSS Robotu;3756;3756;True;10210;10210;True;623974;10035
2013-5;2013;5;2013/5 KPSS Robotu;104;104;True;117;117;True;6797;117
2013-4;2013;4;2013/4 KPSS Robotu;451;451;True;467;467;True;15664;467
2013-3;2013;3;2013/3 KPSS Robotu;1542;1542;True;3317;3317;True;59804;3315
2013-2;2013;2;2013/2 KPSS Robotu;4083;4083;True;11415;11415;True;958762;11402
2013-1;2013;1;2013/1 KPSS Robotu;6995;6995;True;18846;18846;True;997809;18805
2012-6;2012;6;2012/6 KPSS Robotu;2585;2585;True;2600;2600;True;20164;2600
2012-5;2012;5;2012/5 KPSS Robotu;5135;5135;True;10881;10881;True;85135;10678
2012-4;2012;4;2012/4 KPSS Robotu;2138;2138;True;3050;3050;True;47844;2770
2012-3;2012;3;2012/3 KPSS Robotu;366;366;True;378;378;True;13091;378
2012-2;2012;2;2012/2 KPSS Robotu;3058;3058;True;7328;7328;True;1406182;7310
2012-1;2012;1;2012/1 KPSS Robotu;7195;7195;True;17482;17482;True;605984;16947
